time,Y,X,LAPrec1901
1902-06-01,2730000.0,4255000.0,72.0
1902-06-01,2730000.0,4260000.0,73.0
1902-06-01,2735000.0,4250000.0,67.0
1902-06-01,2735000.0,4255000.0,70.0
1902-06-01,2735000.0,4260000.0,70.0
1902-06-01,2740000.0,4250000.0,67.0
1902-06-01,2740000.0,4255000.0,70.0
1902-06-01,2740000.0,4260000.0,74.0
1902-07-01,2725000.0,4250000.0,91.0
1902-07-01,2725000.0,4255000.0,90.0
1902-07-01,2725000.0,4260000.0,88.0
1902-07-01,2730000.0,4250000.0,86.0
1902-07-01,2730000.0,4255000.0,86.0
1902-07-01,2730000.0,4260000.0,86.0
1902-07-01,2735000.0,4250000.0,85.0
1902-07-01,2735000.0,4255000.0,90.0
1902-07-01,2735000.0,4260000.0,91.0
1902-07-01,2740000.0,4250000.0,89.0
1902-07-01,2740000.0,4255000.0,93.0
1902-07-01,2740000.0,4260000.0,96.0
1902-08-01,2725000.0,4250000.0,122.0
1902-08-01,2725000.0,4255000.0,118.0
1902-08-01,2725000.0,4260000.0,113.0
1902-08-01,2730000.0,4250000.0,117.0
1902-08-01,2730000.0,4255000.0,116.0
1902-08-01,2730000.0,4260000.0,111.0
1902-08-01,2735000.0,4250000.0,113.0
1902-08-01,2735000.0,4255000.0,116.0
1902-08-01,2735000.0,4260000.0,113.0
1902-08-01,2740000.0,4250000.0,113.0
1902-08-01,2740000.0,4255000.0,116.0
1902-08-01,2740000.0,4260000.0,117.0
1902-09-01,2725000.0,4250000.0,85.0
1902-09-01,2725000.0,4255000.0,81.0
1902-09-01,2725000.0,4260000.0,78.0
1902-09-01,2730000.0,4250000.0,80.0
1902-09-01,2730000.0,4255000.0,78.0
1902-09-01,2730000.0,4260000.0,75.0
1902-09-01,2735000.0,4250000.0,76.0
1902-09-01,2735000.0,4255000.0,78.0
1902-09-01,2735000.0,4260000.0,76.0
1902-09-01,2740000.0,4250000.0,73.0
1902-09-01,2740000.0,4255000.0,77.0
1902-09-01,2740000.0,4260000.0,79.0
1902-10-01,2725000.0,4250000.0,89.0
1902-10-01,2725000.0,4255000.0,88.0
1902-10-01,2725000.0,4260000.0,86.0
1902-10-01,2730000.0,4250000.0,84.0
1902-10-01,2730000.0,4255000.0,81.0
1902-10-01,2730000.0,4260000.0,78.0
1902-10-01,2735000.0,4250000.0,75.0
1902-10-01,2735000.0,4255000.0,75.0
1902-10-01,2735000.0,4260000.0,73.0
1902-10-01,2740000.0,4250000.0,72.0
1902-10-01,2740000.0,4255000.0,73.0
1902-10-01,2740000.0,4260000.0,73.0
1902-11-01,2725000.0,4250000.0,18.0
1902-11-01,2725000.0,4255000.0,17.0
1902-11-01,2725000.0,4260000.0,16.0
1902-11-01,2730000.0,4250000.0,19.0
1902-11-01,2730000.0,4255000.0,16.0
1902-11-01,2730000.0,4260000.0,14.0
1902-11-01,2735000.0,4250000.0,16.0
1902-11-01,2735000.0,4255000.0,14.0
1902-11-01,2735000.0,4260000.0,12.0
1902-11-01,2740000.0,4250000.0,15.0
1902-11-01,2740000.0,4255000.0,14.0
1902-11-01,2740000.0,4260000.0,12.0
1902-12-01,2725000.0,4250000.0,86.0
1902-12-01,2725000.0,4255000.0,85.0
1902-12-01,2725000.0,4260000.0,83.0
1902-12-01,2730000.0,4250000.0,87.0
1902-12-01,2730000.0,4255000.0,82.0
1902-12-01,2730000.0,4260000.0,78.0
1902-12-01,2735000.0,4250000.0,77.0
1902-12-01,2735000.0,4255000.0,76.0
1902-12-01,2735000.0,4260000.0,73.0
1902-12-01,2740000.0,4250000.0,75.0
1902-12-01,2740000.0,4255000.0,77.0
1902-12-01,2740000.0,4260000.0,79.0
1903-01-01,2725000.0,4250000.0,38.0
1903-01-01,2725000.0,4255000.0,37.0
1903-01-01,2725000.0,4260000.0,35.0
1903-01-01,2730000.0,4250000.0,39.0
1903-01-01,2730000.0,4255000.0,35.0
1903-01-01,2730000.0,4260000.0,32.0
1903-01-01,2735000.0,4250000.0,35.0
1903-01-01,2735000.0,4255000.0,33.0
1903-01-01,2735000.0,4260000.0,31.0
1903-01-01,2740000.0,4250000.0,35.0
1903-01-01,2740000.0,4255000.0,35.0
1903-01-01,2740000.0,4260000.0,35.0
1903-02-01,2725000.0,4250000.0,33.0
1903-02-01,2725000.0,4255000.0,32.0
1903-02-01,2725000.0,4260000.0,31.0
1903-02-01,2730000.0,4250000.0,32.0
1903-02-01,2730000.0,4255000.0,30.0
1903-02-01,2730000.0,4260000.0,28.0
1903-02-01,2735000.0,4250000.0,26.0
1903-02-01,2735000.0,4255000.0,25.0
1903-02-01,2735000.0,4260000.0,25.0
1903-02-01,2740000.0,4250000.0,23.0
1903-02-01,2740000.0,4255000.0,24.0
1903-02-01,2740000.0,4260000.0,25.0
1903-03-01,2725000.0,4250000.0,44.0
1903-03-01,2725000.0,4255000.0,43.0
1903-03-01,2725000.0,4260000.0,40.0
1903-03-01,2730000.0,4250000.0,44.0
1903-03-01,2730000.0,4255000.0,39.0
1903-03-01,2730000.0,4260000.0,35.0
1903-03-01,2735000.0,4250000.0,36.0
1903-03-01,2735000.0,4255000.0,33.0
1903-03-01,2735000.0,4260000.0,30.0
1903-03-01,2740000.0,4250000.0,35.0
1903-03-01,2740000.0,4255000.0,33.0
1903-03-01,2740000.0,4260000.0,32.0
1903-04-01,2725000.0,4250000.0,59.0
1903-04-01,2725000.0,4255000.0,59.0
1903-04-01,2725000.0,4260000.0,59.0
1903-04-01,2730000.0,4250000.0,56.0
1903-04-01,2730000.0,4255000.0,54.0
1903-04-01,2730000.0,4260000.0,53.0
1903-04-01,2735000.0,4250000.0,49.0
1903-04-01,2735000.0,4255000.0,50.0
1903-04-01,2735000.0,4260000.0,49.0
1903-04-01,2740000.0,4250000.0,48.0
1903-04-01,2740000.0,4255000.0,50.0
1903-04-01,2740000.0,4260000.0,52.0
1903-05-01,2725000.0,4250000.0,43.0
1903-05-01,2725000.0,4255000.0,42.0
1903-05-01,2725000.0,4260000.0,39.0
1903-05-01,2730000.0,4250000.0,42.0
1903-05-01,2730000.0,4255000.0,41.0
1903-05-01,2730000.0,4260000.0,37.0
1903-05-01,2735000.0,4250000.0,39.0
1903-05-01,2735000.0,4255000.0,39.0
1903-05-01,2735000.0,4260000.0,38.0
1903-05-01,2740000.0,4250000.0,39.0
1903-05-01,2740000.0,4255000.0,40.0
1903-05-01,2740000.0,4260000.0,39.0
1903-06-01,2725000.0,4250000.0,95.0
1903-06-01,2725000.0,4255000.0,94.0
1903-06-01,2725000.0,4260000.0,92.0
1903-06-01,2730000.0,4250000.0,92.0
1903-06-01,2730000.0,4255000.0,90.0
1903-06-01,2730000.0,4260000.0,87.0
1903-06-01,2735000.0,4250000.0,86.0
1903-06-01,2735000.0,4255000.0,87.0
1903-06-01,2735000.0,4260000.0,84.0
1903-06-01,2740000.0,4250000.0,85.0
1903-06-01,2740000.0,4255000.0,85.0
1903-06-01,2740000.0,4260000.0,85.0
1903-07-01,2725000.0,4250000.0,137.0
1903-07-01,2725000.0,4255000.0,139.0
1903-07-01,2725000.0,4260000.0,141.0
1903-07-01,2730000.0,4250000.0,128.0
1903-07-01,2730000.0,4255000.0,131.0
1903-07-01,2730000.0,4260000.0,133.0
1903-07-01,2735000.0,4250000.0,123.0
1903-07-01,2735000.0,4255000.0,131.0
1903-07-01,2735000.0,4260000.0,130.0
