Time,Mittlere Temperatur (K),Standardabweichung,Unsicherheit (K),Mittlere Qualitätsstufe,Nicht-Null-Anzahl
2008-09-17 12:00:00,286.57236,0.76173484,0.3117885030449321,2.176470588235294,17.0
2008-09-18 12:00:00,284.53998,0.0,0.3490000069141388,1.0,1.0
2008-09-20 12:00:00,288.6624,0.44882274,0.3069975924222221,4.1891891891891895,37.0
2008-09-21 12:00:00,284.6825,0.22631621,0.3496019232744093,2.0,4.0
2008-09-22 12:00:00,287.8597,0.41746867,0.5550479722171956,3.75,36.0
2008-09-23 12:00:00,286.31998,0.47081771,0.6276679310632289,3.0,3.0
2008-09-24 12:00:00,287.04285,0.46841076,0.4529883542706375,2.642857142857143,14.0
2008-09-26 12:00:00,287.12997,0.31228882,0.4657940052083319,4.517241379310345,29.0
2008-09-27 12:00:00,286.83664,0.6641668,0.3910259408657439,3.787878787878788,33.0
2008-09-29 12:00:00,286.36667,0.292926,0.3885161048860632,3.75,12.0
2008-10-01 12:00:00,286.78998,0.0,0.5700000524520874,3.0,1.0
2008-10-02 12:00:00,286.54047,0.34927732,0.4322220095427091,4.4,20.0
2008-10-05 12:00:00,285.42404,0.46638903,0.38379023136511103,3.8333333333333335,42.0
2008-10-06 12:00:00,286.41098,0.48539564,0.5791817756912097,3.1,10.0
2008-10-07 12:00:00,280.555,0.20498657,0.44880343176261583,1.0,2.0
2008-10-08 12:00:00,286.50333,0.5632003,0.4794467364202839,3.8974358974358974,39.0
2008-10-09 12:00:00,286.97635,0.38251182,0.46123186579701664,3.090909090909091,11.0
2008-10-11 12:00:00,281.6975,0.7417191,0.3605034829338434,1.0,8.0
2008-10-15 12:00:00,286.82645,0.28029367,0.3352922932941626,3.676470588235294,34.0
2008-10-17 12:00:00,285.79266,0.42331123,0.5228758388074212,4.470588235294118,34.0
2008-10-18 12:00:00,285.08044,0.42810884,0.4773785761973624,3.9285714285714284,42.0
2008-10-19 12:00:00,285.72626,0.508455,0.2944637629438878,4.35,40.0
2008-10-20 12:00:00,286.11188,0.1690523,0.2948479608827395,4.75,16.0
2008-10-21 12:00:00,285.5554,0.3594583,0.37976594141330294,3.230769230769231,13.0
2008-10-23 12:00:00,285.51865,0.32728955,0.6341130338361949,4.133333333333334,30.0
2008-10-25 12:00:00,284.66498,0.095173895,0.39978954499774916,5.0,6.0
2008-11-03 12:00:00,283.74142,0.55319947,0.3227394097153773,3.857142857142857,14.0
2008-11-05 12:00:00,284.205,0.34500122,0.3840000033378601,2.0,2.0
2008-11-07 12:00:00,282.98727,0.96742463,0.3310889893883584,3.696969696969697,33.0
2008-11-08 12:00:00,282.14,0.21000671,0.3725030373894307,4.0,2.0
2008-11-09 12:00:00,281.468,0.5952612,0.32514460113351284,1.4,5.0
2008-11-10 12:00:00,279.03177,1.6913908,0.27366167559936894,1.2941176470588236,17.0
2008-11-11 12:00:00,275.24667,0.56611943,0.371913312305204,1.0,6.0
2008-11-14 12:00:00,282.79333,0.51274025,0.5479269724087833,4.0,15.0
2008-11-15 12:00:00,282.58286,0.12114716,0.3969813085584028,4.714285714285714,7.0
2008-11-17 12:00:00,282.26855,0.21800776,0.42755786788680605,4.714285714285714,7.0
2008-11-22 12:00:00,280.938,0.6751383,0.5905938100897057,2.6,5.0
2008-11-23 12:00:00,280.08298,1.911151,0.22512693788265234,4.133333333333334,30.0
2008-11-24 12:00:00,278.775,2.021845,0.44510169503521724,3.125,8.0
2008-11-25 12:00:00,277.3325,1.4815965,0.4124498587219356,1.5,8.0
2008-11-26 12:00:00,279.97305,1.3785671,0.5056344535873009,4.217391304347826,23.0
2008-11-27 12:00:00,279.33728,1.6248994,0.29854618829133966,3.8181818181818183,11.0
2008-11-29 12:00:00,274.81796,2.6408443,0.36409422991145346,2.1,10.0
2008-11-30 12:00:00,279.3805,1.5167897,0.2822070283933679,3.3,40.0
2008-12-02 12:00:00,279.74,0.26191896,0.6714248725584101,4.0,3.0
2008-12-03 12:00:00,279.14694,1.1903912,0.34740289774812294,4.304347826086956,46.0
2008-12-05 12:00:00,278.0543,1.4587584,0.34435614387026153,1.8571428571428572,7.0
2008-12-07 12:00:00,278.865,1.028564,0.5458624192994448,3.0,4.0
2008-12-08 12:00:00,279.22067,1.1129088,0.2856040790365707,4.340909090909091,44.0
2008-12-09 12:00:00,278.84,0.0,0.2770000100135803,4.0,1.0
2008-12-13 12:00:00,272.58,0.0,0.2750000059604645,1.0,1.0
2008-12-14 12:00:00,277.5859,1.738491,0.23361366743913548,2.8636363636363638,44.0
2008-12-15 12:00:00,274.28497,0.9314132,0.24775139783047287,2.0,4.0
2008-12-16 12:00:00,277.00183,2.3319697,0.2076143822290057,3.5454545454545454,11.0
2008-12-17 12:00:00,278.0325,0.4918565,0.5467648420107247,4.5,4.0
2008-12-22 12:00:00,272.91,0.08999634,0.2640681864208589,1.0,2.0
2008-12-23 12:00:00,279.1009,0.57044077,0.290563022781658,3.3636363636363638,22.0
2008-12-25 12:00:00,278.77417,1.035329,0.33227236888486755,3.8333333333333335,24.0
2008-12-26 12:00:00,278.18436,1.1054262,0.22765745856706052,4.369565217391305,46.0
2008-12-28 12:00:00,277.99942,1.03173,0.2774431976034953,4.722222222222222,18.0
