time,lat,lon,prAdjust
1950-01-01,48.5,7.5,58.363274
1950-01-01,48.5,7.75,58.81778
1950-01-01,48.5,8.0,53.671364
1950-01-01,48.5,8.25,70.63129
1950-01-01,48.5,8.5,81.99155
1950-01-01,48.5,8.75,64.693565
1950-01-01,48.5,9.0,48.679268
1950-01-01,48.5,9.25,43.750587
1950-01-01,48.5,9.5,47.97434
1950-01-01,48.5,9.75,49.880222
1950-01-01,48.5,10.0,50.269333
1950-01-01,48.5,10.25,57.80327
1950-01-01,48.5,10.5,72.97714
1950-01-01,48.5,10.75,62.11055
1950-01-01,48.5,11.0,62.2678
1950-01-01,48.5,11.25,52.40555
1950-01-01,48.5,11.5,45.718246
1950-01-01,48.5,11.75,56.51374
1950-01-01,48.5,12.0,58.82257
1950-01-01,48.5,12.25,61.80636
1950-01-01,48.5,12.5,66.31801
1950-01-01,48.5,12.75,62.091377
1950-01-01,48.5,13.0,58.127277
1950-01-01,48.5,13.25,64.39763
1950-01-01,48.5,13.5,52.422096
1950-01-01,48.5,13.75,60.236473
1950-01-01,48.5,14.0,63.237625
1950-01-01,48.5,14.25,63.98019
1950-01-01,48.5,14.5,63.109108
1950-01-01,48.5,14.75,66.76904
1950-01-01,48.5,15.0,64.76569
1950-01-01,48.75,5.75,64.54355
1950-01-01,48.75,6.0,51.478275
1950-01-01,48.75,6.25,48.209557
1950-01-01,48.75,6.5,47.84171
1950-01-01,48.75,6.75,50.65013
1950-01-01,48.75,7.0,54.76104
1950-01-01,48.75,7.25,55.960262
1950-01-01,48.75,7.5,55.32737
1950-01-01,48.75,7.75,56.530693
1950-01-01,48.75,8.0,52.66797
1950-01-01,48.75,8.25,56.4776
1950-01-01,48.75,8.5,59.803066
1950-01-01,48.75,8.75,68.32246
1950-01-01,48.75,9.0,54.108383
1950-01-01,48.75,9.25,39.893513
1950-01-01,48.75,9.5,42.0271
1950-01-01,48.75,9.75,49.482407
1950-01-01,48.75,10.0,59.49544
1950-01-01,48.75,10.25,54.39803
1950-01-01,48.75,10.5,58.50293
1950-01-01,48.75,10.75,41.33435
1950-01-01,48.75,11.0,50.438316
1950-01-01,48.75,11.25,44.713387
1950-01-01,48.75,11.5,40.055275
1950-01-01,48.75,11.75,44.46347
1950-01-01,48.75,12.0,43.947266
1950-01-01,48.75,12.25,47.723408
1950-01-01,48.75,12.5,46.19919
1950-01-01,48.75,12.75,50.84261
1950-01-01,48.75,13.0,45.348694
1950-01-01,48.75,13.25,51.832645
1950-01-01,48.75,13.5,59.181366
1950-01-01,48.75,13.75,58.169453
1950-01-01,48.75,14.0,54.153008
1950-01-01,48.75,14.25,56.7805
1950-01-01,48.75,14.5,47.521732
1950-01-01,48.75,14.75,80.8766
1950-01-01,48.75,15.0,79.81776
1950-01-01,49.0,5.75,49.420467
1950-01-01,49.0,6.0,54.14293
1950-01-01,49.0,6.25,48.896393
1950-01-01,49.0,6.5,54.892826
1950-01-01,49.0,6.75,58.22733
1950-01-01,49.0,7.0,53.99604
1950-01-01,49.0,7.25,53.944626
1950-01-01,49.0,7.5,62.613773
1950-01-01,49.0,7.75,51.966698
1950-01-01,49.0,8.0,46.321915
1950-01-01,49.0,8.25,45.381546
1950-01-01,49.0,8.5,53.475655
1950-01-01,49.0,8.75,48.095947
1950-01-01,49.0,9.0,40.653942
1950-01-01,49.0,9.25,38.157566
1950-01-01,49.0,9.5,63.934822
1950-01-01,49.0,9.75,73.10515
1950-01-01,49.0,10.0,79.42693
1950-01-01,49.0,10.25,67.32038
1950-01-01,49.0,10.5,53.592106
1950-01-01,49.0,10.75,47.186073
1950-01-01,49.0,11.0,46.92844
1950-01-01,49.0,11.25,59.10183
1950-01-01,49.0,11.5,64.36458
1950-01-01,49.0,11.75,55.384335
1950-01-01,49.0,12.0,48.57351
1950-01-01,49.0,12.25,43.779114
1950-01-01,49.0,12.5,53.549908
1950-01-01,49.0,12.75,67.57674
1950-01-01,49.0,13.0,67.099335
1950-01-01,49.0,13.25,68.05219
1950-01-01,49.0,13.5,63.49586
1950-01-01,49.0,13.75,60.147385
1950-01-01,49.0,14.0,46.82276
1950-01-01,49.0,14.25,55.387478
1950-01-01,49.0,14.5,70.25386
1950-01-01,49.0,14.75,83.179245
1950-01-01,49.0,15.0,108.904915
1950-01-01,49.25,5.75,47.956474
1950-01-01,49.25,6.0,48.47988
1950-01-01,49.25,6.25,38.64235
1950-01-01,49.25,6.5,51.42198
1950-01-01,49.25,6.75,58.142384
1950-01-01,49.25,7.0,57.03202
1950-01-01,49.25,7.25,57.61952
1950-01-01,49.25,7.5,57.614834
1950-01-01,49.25,7.75,59.848255
1950-01-01,49.25,8.0,51.14993
1950-01-01,49.25,8.25,48.613235
1950-01-01,49.25,8.5,54.240936
1950-01-01,49.25,8.75,52.645775
1950-01-01,49.25,9.0,48.243145
1950-01-01,49.25,9.25,55.968983
1950-01-01,49.25,9.5,51.989544
1950-01-01,49.25,9.75,58.72544
1950-01-01,49.25,10.0,57.428825
1950-01-01,49.25,10.25,55.082504
1950-01-01,49.25,10.5,51.66691
1950-01-01,49.25,10.75,47.57314
1950-01-01,49.25,11.0,52.388767
1950-01-01,49.25,11.25,55.361362
1950-01-01,49.25,11.5,65.622154
1950-01-01,49.25,11.75,55.52829
1950-01-01,49.25,12.0,44.598328
1950-01-01,49.25,12.25,42.829376
1950-01-01,49.25,12.5,52.48049
1950-01-01,49.25,12.75,51.614147
1950-01-01,49.25,13.0,72.06892
1950-01-01,49.25,13.25,63.63081
1950-01-01,49.25,13.5,65.9073
1950-01-01,49.25,13.75,55.522156
1950-01-01,49.25,14.0,43.198162
1950-01-01,49.25,14.25,47.53584
1950-01-01,49.25,14.5,79.871925
1950-01-01,49.25,14.75,99.84294
1950-01-01,49.25,15.0,69.67159
1950-01-01,49.5,5.75,43.69552
1950-01-01,49.5,6.0,43.195053
1950-01-01,49.5,6.25,50.77735
1950-01-01,49.5,6.5,43.905743
1950-01-01,49.5,6.75,44.057835
1950-01-01,49.5,7.0,53.82428
1950-01-01,49.5,7.25,44.072647
1950-01-01,49.5,7.5,40.759193
1950-01-01,49.5,7.75,39.618805
1950-01-01,49.5,8.0,41.440453
1950-01-01,49.5,8.25,40.65644
1950-01-01,49.5,8.5,44.626816
1950-01-01,49.5,8.75,46.536434
1950-01-01,49.5,9.0,49.612362
1950-01-01,49.5,9.25,52.54718
1950-01-01,49.5,9.5,53.10882
1950-01-01,49.5,9.75,47.927998
1950-01-01,49.5,10.0,44.686543
1950-01-01,49.5,10.25,44.74971
1950-01-01,49.5,10.5,46.12601
1950-01-01,49.5,10.75,47.545773
1950-01-01,49.5,11.0,44.409706
1950-01-01,49.5,11.25,54.423164
1950-01-01,49.5,11.5,57.560135
1950-01-01,49.5,11.75,62.88071
1950-01-01,49.5,12.0,45.724842
1950-01-01,49.5,12.25,45.31074
1950-01-01,49.5,12.5,48.45687
1950-01-01,49.5,12.75,43.51993
1950-01-01,49.5,13.0,54.490425
1950-01-01,49.5,13.25,54.07305
1950-01-01,49.5,13.5,58.64454
1950-01-01,49.5,13.75,41.484627
1950-01-01,49.5,14.0,51.857258
1950-01-01,49.5,14.25,51.86926
1950-01-01,49.5,14.5,75.978485
1950-01-01,49.5,14.75,85.56092
1950-01-01,49.5,15.0,88.578995
1950-01-01,49.75,5.75,48.543667
1950-01-01,49.75,6.0,37.56605
1950-01-01,49.75,6.25,37.08511
1950-01-01,49.75,6.5,40.446148
1950-01-01,49.75,6.75,40.796467
1950-01-01,49.75,7.0,51.87738
1950-01-01,49.75,7.25,44.71649
1950-01-01,49.75,7.5,41.380814
1950-01-01,49.75,7.75,36.178482
1950-01-01,49.75,8.0,36.109528
1950-01-01,49.75,8.25,38.9734
1950-01-01,49.75,8.5,33.726288
1950-01-01,49.75,8.75,36.22161
1950-01-01,49.75,9.0,37.748478
1950-01-01,49.75,9.25,42.200096
1950-01-01,49.75,9.5,39.653255
1950-01-01,49.75,9.75,42.82009
1950-01-01,49.75,10.0,41.53221
1950-01-01,49.75,10.25,37.20265
1950-01-01,49.75,10.5,45.29078
1950-01-01,49.75,10.75,43.28859
1950-01-01,49.75,11.0,42.729385
1950-01-01,49.75,11.25,55.55926
1950-01-01,49.75,11.5,64.39961
1950-01-01,49.75,11.75,60.208595
1950-01-01,49.75,12.0,50.502323
1950-01-01,49.75,12.25,65.13394
1950-01-01,49.75,12.5,64.65813
1950-01-01,49.75,12.75,52.31568
1950-01-01,49.75,13.0,49.2524
1950-01-01,49.75,13.25,46.44971
1950-01-01,49.75,13.5,42.66032
1950-01-01,49.75,13.75,43.01292
1950-01-01,49.75,14.0,47.132652
1950-01-01,49.75,14.25,54.17729
1950-01-01,49.75,14.5,54.997604
1950-01-01,49.75,14.75,63.30006
1950-01-01,49.75,15.0,74.29568
1950-01-01,50.0,5.75,50.51564
1950-01-01,50.0,6.0,46.170696
1950-01-01,50.0,6.25,37.85852
1950-01-01,50.0,6.5,39.17177
1950-01-01,50.0,6.75,51.28784
1950-01-01,50.0,7.0,49.764313
1950-01-01,50.0,7.25,50.258595
1950-01-01,50.0,7.5,41.41764
1950-01-01,50.0,7.75,43.39329
1950-01-01,50.0,8.0,32.431572
1950-01-01,50.0,8.25,32.39465
1950-01-01,50.0,8.5,37.502907
1950-01-01,50.0,8.75,37.06981
1950-01-01,50.0,9.0,39.721798
1950-01-01,50.0,9.25,39.76958
1950-01-01,50.0,9.5,43.778282
1950-01-01,50.0,9.75,42.389793
1950-01-01,50.0,10.0,41.21311
1950-01-01,50.0,10.25,35.946236
1950-01-01,50.0,10.5,35.309692
1950-01-01,50.0,10.75,44.216534
1950-01-01,50.0,11.0,51.479992
1950-01-01,50.0,11.25,50.669495
1950-01-01,50.0,11.5,64.94437
1950-01-01,50.0,11.75,61.803333
1950-01-01,50.0,12.0,68.7704
1950-01-01,50.0,12.25,58.735992
1950-01-01,50.0,12.5,58.077415
1950-01-01,50.0,12.75,59.416718
1950-01-01,50.0,13.0,62.194054
1950-01-01,50.0,13.25,57.263786
1950-01-01,50.0,13.5,49.557823
1950-01-01,50.0,13.75,59.99884
1950-01-01,50.0,14.0,56.079494
1950-01-01,50.0,14.25,55.1932
1950-01-01,50.0,14.5,77.3496
1950-01-01,50.0,14.75,73.39716
1950-01-01,50.0,15.0,74.460945
1950-01-01,50.25,5.75,60.850082
1950-01-01,50.25,6.0,64.07704
1950-01-01,50.25,6.25,64.05516
1950-01-01,50.25,6.5,64.316315
1950-01-01,50.25,6.75,44.98342
