time,lat,lon,realization,magnitude_of_meteorological_droughts (dmd)
1940-01-01,48.75,14.5,0,4.349983201503554
1940-01-01,48.75,14.75,0,4.00032338477537
1940-01-01,48.75,15.0,0,3.971945743266914
1940-01-01,49.0,5.75,0,0.0
1940-01-01,49.0,6.0,0,0.0
1940-01-01,49.0,6.25,0,0.0
1940-01-01,49.0,6.5,0,0.0
1940-01-01,49.0,6.75,0,0.0
1940-01-01,49.0,7.0,0,0.0
1940-01-01,49.0,7.25,0,0.0
1940-01-01,49.0,7.5,0,0.0
1940-01-01,49.0,7.75,0,0.0
1940-01-01,49.0,8.0,0,4.602573764491593
1940-01-01,49.0,8.25,0,4.291971600128924
1940-01-01,49.0,8.5,0,0.0
1940-01-01,49.0,8.75,0,0.0
1940-01-01,49.0,9.0,0,0.0
1940-01-01,49.0,9.25,0,0.0
1940-01-01,49.0,9.5,0,0.0
1940-01-01,49.0,9.75,0,0.0
1940-01-01,49.0,10.0,0,0.0
1940-01-01,49.0,10.25,0,0.0
1940-01-01,49.0,10.5,0,0.0
1940-01-01,49.0,10.75,0,0.0
1940-01-01,49.0,11.0,0,0.0
1940-01-01,49.0,11.25,0,0.0
1940-01-01,49.0,11.5,0,0.0
1940-01-01,49.0,11.75,0,0.0
1940-01-01,49.0,12.0,0,0.0
1940-01-01,49.0,12.25,0,0.0
1940-01-01,49.0,12.5,0,0.0
1940-01-01,49.0,12.75,0,0.0
1940-01-01,49.0,13.0,0,0.0
1940-01-01,49.0,13.25,0,0.0
1940-01-01,49.0,13.5,0,1.179093148547668
1940-01-01,49.0,13.75,0,3.60281434112611
1940-01-01,49.0,14.0,0,3.219594796928808
1940-01-01,49.0,14.25,0,1.4277176976711123
1940-01-01,49.0,14.5,0,1.2881738520353614
1940-01-01,49.0,14.75,0,1.167877767049817
1940-01-01,49.0,15.0,0,1.0575020117107226
1940-01-01,49.25,5.75,0,0.0
1940-01-01,49.25,6.0,0,0.0
1940-01-01,49.25,6.25,0,0.0
1940-01-01,49.25,6.5,0,0.0
1940-01-01,49.25,6.75,0,0.0
1940-01-01,49.25,7.0,0,0.0
1940-01-01,49.25,7.25,0,0.0
1940-01-01,49.25,7.5,0,0.0
1940-01-01,49.25,7.75,0,0.0
1940-01-01,49.25,8.0,0,0.0
1940-01-01,49.25,8.25,0,5.273839173198213
1940-01-01,49.25,8.5,0,4.226068916778243
1940-01-01,49.25,8.75,0,0.0
1940-01-01,49.25,9.0,0,0.0
1940-01-01,49.25,9.25,0,0.0
1940-01-01,49.25,9.5,0,0.0
1940-01-01,49.25,9.75,0,0.0
1940-01-01,49.25,10.0,0,0.0
1940-01-01,49.25,10.25,0,0.0
1940-01-01,49.25,10.5,0,0.0
1940-01-01,49.25,10.75,0,0.0
1940-01-01,49.25,11.0,0,0.0
1940-01-01,49.25,11.25,0,0.0
1940-01-01,49.25,11.5,0,0.0
1940-01-01,49.25,11.75,0,0.0
1940-01-01,49.25,12.0,0,0.0
1940-01-01,49.25,12.25,0,0.0
1940-01-01,49.25,12.5,0,0.0
1940-01-01,49.25,12.75,0,0.0
1940-01-01,49.25,13.0,0,0.0
1940-01-01,49.25,13.25,0,0.0
1940-01-01,49.25,13.5,0,1.4445865051040299
1940-01-01,49.25,13.75,0,1.50177909895937
1940-01-01,49.25,14.0,0,1.406607991480958
1940-01-01,49.25,14.25,0,1.318631955324355
1940-01-01,49.25,14.5,0,1.0912196543618742
1940-01-01,49.25,14.75,0,0.0
1940-01-01,49.25,15.0,0,0.0
1940-01-01,49.5,5.75,0,0.0
1940-01-01,49.5,6.0,0,0.0
1940-01-01,49.5,6.25,0,0.0
1940-01-01,49.5,6.5,0,0.0
1940-01-01,49.5,6.75,0,0.0
1940-01-01,49.5,7.0,0,0.0
1940-01-01,49.5,7.25,0,0.0
1940-01-01,49.5,7.5,0,3.8363577279042786
1940-01-01,49.5,7.75,0,0.0
1940-01-01,49.5,8.0,0,0.0
1940-01-01,49.5,8.25,0,0.0
1940-01-01,49.5,8.5,0,0.0
1940-01-01,49.5,8.75,0,0.0
1940-01-01,49.5,9.0,0,3.3022468840831327
1940-01-01,49.5,9.25,0,3.228999608414023
1940-01-01,49.5,9.5,0,3.0101722871357697
1940-01-01,49.5,9.75,0,0.0
1940-01-01,49.5,10.0,0,0.0
1940-01-01,49.5,10.25,0,0.0
1940-01-01,49.5,10.5,0,0.0
1940-01-01,49.5,10.75,0,0.0
1940-01-01,49.5,11.0,0,0.0
1940-01-01,49.5,11.25,0,0.0
1940-01-01,49.5,11.5,0,0.0
1940-01-01,49.5,11.75,0,0.0
1940-01-01,49.5,12.0,0,0.0
1940-01-01,49.5,12.25,0,0.0
1940-01-01,49.5,12.5,0,0.0
1940-01-01,49.5,12.75,0,0.0
1940-01-01,49.5,13.0,0,0.0
1940-01-01,49.5,13.25,0,1.5249089793698887
1940-01-01,49.5,13.5,0,1.3854081365354725
1940-01-01,49.5,13.75,0,1.9022540635929226
1940-01-01,49.5,14.0,0,0.0
1940-01-01,49.5,14.25,0,0.0
1940-01-01,49.5,14.5,0,0.0
1940-01-01,49.5,14.75,0,0.0
1940-01-01,49.5,15.0,0,0.0
1940-01-01,49.75,5.75,0,3.2594321780355227
1940-01-01,49.75,6.0,0,2.264656882407479
1940-01-01,49.75,6.25,0,0.0
1940-01-01,49.75,6.5,0,0.0
1940-01-01,49.75,6.75,0,0.0
1940-01-01,49.75,7.0,0,0.0
1940-01-01,49.75,7.25,0,0.0
1940-01-01,49.75,7.5,0,0.0
1940-01-01,49.75,7.75,0,0.0
1940-01-01,49.75,8.0,0,0.0
1940-01-01,49.75,8.25,0,0.0
1940-01-01,49.75,8.5,0,0.0
1940-01-01,49.75,8.75,0,0.0
1940-01-01,49.75,9.0,0,0.0
1940-01-01,49.75,9.25,0,0.0
1940-01-01,49.75,9.5,0,0.0
1940-01-01,49.75,9.75,0,0.0
1940-01-01,49.75,10.0,0,0.0
1940-01-01,49.75,10.25,0,0.0
1940-01-01,49.75,10.5,0,0.0
1940-01-01,49.75,10.75,0,0.0
1940-01-01,49.75,11.0,0,0.0
1940-01-01,49.75,11.25,0,0.0
1940-01-01,49.75,11.5,0,0.0
1940-01-01,49.75,11.75,0,0.0
1940-01-01,49.75,12.0,0,0.0
1940-01-01,49.75,12.25,0,0.0
1940-01-01,49.75,12.5,0,0.0
1940-01-01,49.75,12.75,0,0.0
1940-01-01,49.75,13.0,0,2.4796381775016147
1940-01-01,49.75,13.25,0,1.932364245030848
1940-01-01,49.75,13.5,0,1.7572382256048367
1940-01-01,49.75,13.75,0,2.1754727371538087
1940-01-01,49.75,14.0,0,0.0
1940-01-01,49.75,14.25,0,0.0
1940-01-01,49.75,14.5,0,0.0
1940-01-01,49.75,14.75,0,0.0
1940-01-01,49.75,15.0,0,0.0
1940-01-01,50.0,5.75,0,4.805244693072693
1940-01-01,50.0,6.0,0,3.3017941286767227
1940-01-01,50.0,6.25,0,3.2654342449353706
1940-01-01,50.0,6.5,0,0.0
1940-01-01,50.0,6.75,0,0.0
1940-01-01,50.0,7.0,0,0.0
1940-01-01,50.0,7.25,0,0.0
1940-01-01,50.0,7.5,0,0.0
1940-01-01,50.0,7.75,0,0.0
1940-01-01,50.0,8.0,0,0.0
1940-01-01,50.0,8.25,0,0.0
1940-01-01,50.0,8.5,0,0.0
1940-01-01,50.0,8.75,0,0.0
1940-01-01,50.0,9.0,0,0.0
1940-01-01,50.0,9.25,0,0.0
1940-01-01,50.0,9.5,0,0.0
1940-01-01,50.0,9.75,0,0.0
1940-01-01,50.0,10.0,0,0.0
1940-01-01,50.0,10.25,0,0.0
1940-01-01,50.0,10.5,0,0.0
1940-01-01,50.0,10.75,0,0.0
1940-01-01,50.0,11.0,0,0.0
1940-01-01,50.0,11.25,0,0.0
1940-01-01,50.0,11.5,0,0.0
1940-01-01,50.0,11.75,0,0.0
1940-01-01,50.0,12.0,0,0.0
1940-01-01,50.0,12.25,0,0.0
1940-01-01,50.0,12.5,0,0.0
1940-01-01,50.0,12.75,0,0.0
1940-01-01,50.0,13.0,0,3.1674734352411837
1940-01-01,50.0,13.25,0,2.798852205803949
1940-01-01,50.0,13.5,0,2.5822380755859253
1940-01-01,50.0,13.75,0,4.657798263071954
1940-01-01,50.0,14.0,0,4.4708031915631485
1940-01-01,50.0,14.25,0,0.0
1940-01-01,50.0,14.5,0,0.0
1940-01-01,50.0,14.75,0,0.0
1940-01-01,50.0,15.0,0,0.0
1940-01-01,50.25,5.75,0,4.29992295525515
1940-01-01,50.25,6.0,0,4.643215455899598
1940-01-01,50.25,6.25,0,4.782008725768442
1940-01-01,50.25,6.5,0,0.0
1940-01-01,50.25,6.75,0,0.0
1940-01-01,50.25,7.0,0,0.0
1940-01-01,50.25,7.25,0,0.0
1940-01-01,50.25,7.5,0,0.0
1940-01-01,50.25,7.75,0,0.0
1940-01-01,50.25,8.0,0,0.0
1940-01-01,50.25,8.25,0,0.0
1940-01-01,50.25,8.5,0,0.0
1940-01-01,50.25,8.75,0,0.0
1940-01-01,50.25,9.0,0,0.0
1940-01-01,50.25,9.25,0,0.0
1940-01-01,50.25,9.5,0,0.0
1940-01-01,50.25,9.75,0,0.0
1940-01-01,50.25,10.0,0,0.0
1940-01-01,50.25,10.25,0,0.0
1940-01-01,50.25,10.5,0,0.0
1940-01-01,50.25,10.75,0,0.0
1940-01-01,50.25,11.0,0,0.0
1940-01-01,50.25,11.25,0,0.0
1940-01-01,50.25,11.5,0,0.0
1940-01-01,50.25,11.75,0,0.0
1940-01-01,50.25,12.0,0,0.0
1940-01-01,50.25,12.25,0,0.0
1940-01-01,50.25,12.5,0,0.0
1940-01-01,50.25,12.75,0,0.0
1940-01-01,50.25,13.0,0,0.0
1940-01-01,50.25,13.25,0,3.3813208023382857
1940-01-01,50.25,13.5,0,3.0762782120430128
1940-01-01,50.25,13.75,0,5.633490672369704
1940-01-01,50.25,14.0,0,5.316766326976583
1940-01-01,50.25,14.25,0,0.0
1940-01-01,50.25,14.5,0,0.0
1940-01-01,50.25,14.75,0,0.0
1940-01-01,50.25,15.0,0,0.0
1940-01-01,50.5,5.75,0,3.9513273270959783
1940-01-01,50.5,6.0,0,4.353506138132129
1940-01-01,50.5,6.25,0,4.697453972786843
1940-01-01,50.5,6.5,0,5.305229075115763
1940-01-01,50.5,6.75,0,5.514346610436375
1940-01-01,50.5,7.0,0,4.871656573347286
1940-01-01,50.5,7.25,0,3.936199152069366
1940-01-01,50.5,7.5,0,3.0802846502821657
1940-01-01,50.5,7.75,0,0.0
