time,lat,lon,realization,total_precipitation (tp)
1940-01-01,48.5,11.0,0,808.8071
1940-01-01,48.5,11.25,0,814.9884
1940-01-01,48.5,11.5,0,802.8846
1940-01-01,48.5,11.75,0,813.3869
1940-01-01,48.5,12.0,0,837.3485
1940-01-01,48.5,12.25,0,857.214
1940-01-01,48.5,12.5,0,858.2388
1940-01-01,48.5,12.75,0,829.1731
1940-01-01,48.5,13.0,0,808.3225
1940-01-01,48.5,13.25,0,780.1745
1940-01-01,48.5,13.5,0,769.145
1940-01-01,48.5,13.75,0,769.3749
1940-01-01,48.5,14.0,0,763.9983
1940-01-01,48.5,14.25,0,799.1448
1940-01-01,48.5,14.5,0,825.2237
1940-01-01,48.5,14.75,0,894.31573
1940-01-01,48.5,15.0,0,906.5674
1940-01-01,48.75,5.75,0,782.7394
1940-01-01,48.75,6.0,0,772.5079
1940-01-01,48.75,6.25,0,830.72974
1940-01-01,48.75,6.5,0,843.50183
1940-01-01,48.75,6.75,0,778.6367
1940-01-01,48.75,7.0,0,861.18536
1940-01-01,48.75,7.25,0,926.51526
1940-01-01,48.75,7.5,0,831.94446
1940-01-01,48.75,7.75,0,799.10876
1940-01-01,48.75,8.0,0,818.2798
1940-01-01,48.75,8.25,0,1094.69
1940-01-01,48.75,8.5,0,1195.2872
1940-01-01,48.75,8.75,0,1049.503
1940-01-01,48.75,9.0,0,896.2994
1940-01-01,48.75,9.25,0,804.3804
1940-01-01,48.75,9.5,0,938.71356
1940-01-01,48.75,9.75,0,976.4302
1940-01-01,48.75,10.0,0,945.991
1940-01-01,48.75,10.25,0,853.27795
1940-01-01,48.75,10.5,0,790.92004
1940-01-01,48.75,10.75,0,777.8437
1940-01-01,48.75,11.0,0,759.228
1940-01-01,48.75,11.25,0,733.5241
1940-01-01,48.75,11.5,0,701.26575
1940-01-01,48.75,11.75,0,698.25055
1940-01-01,48.75,12.0,0,711.9999
1940-01-01,48.75,12.25,0,722.57446
1940-01-01,48.75,12.5,0,727.6924
1940-01-01,48.75,12.75,0,727.0608
1940-01-01,48.75,13.0,0,747.81586
1940-01-01,48.75,13.25,0,776.37317
1940-01-01,48.75,13.5,0,852.1373
1940-01-01,48.75,13.75,0,864.82794
1940-01-01,48.75,14.0,0,836.7248
1940-01-01,48.75,14.25,0,769.37866
1940-01-01,48.75,14.5,0,724.2828
1940-01-01,48.75,14.75,0,720.7882
1940-01-01,48.75,15.0,0,713.07965
1940-01-01,49.0,5.75,0,768.61646
1940-01-01,49.0,6.0,0,775.8951
1940-01-01,49.0,6.25,0,816.5855
1940-01-01,49.0,6.5,0,875.27893
1940-01-01,49.0,6.75,0,869.09937
1940-01-01,49.0,7.0,0,786.10016
1940-01-01,49.0,7.25,0,841.6991
1940-01-01,49.0,7.5,0,888.9675
1940-01-01,49.0,7.75,0,778.2432
1940-01-01,49.0,8.0,0,710.6659
1940-01-01,49.0,8.25,0,648.77057
1940-01-01,49.0,8.5,0,768.4572
1940-01-01,49.0,8.75,0,822.8066
1940-01-01,49.0,9.0,0,820.0309
1940-01-01,49.0,9.25,0,797.2643
1940-01-01,49.0,9.5,0,835.27423
1940-01-01,49.0,9.75,0,886.8744
1940-01-01,49.0,10.0,0,900.40015
1940-01-01,49.0,10.25,0,826.0004
1940-01-01,49.0,10.5,0,777.4706
1940-01-01,49.0,10.75,0,771.75305
1940-01-01,49.0,11.0,0,758.0478
1940-01-01,49.0,11.25,0,743.3851
1940-01-01,49.0,11.5,0,749.5675
1940-01-01,49.0,11.75,0,761.12915
1940-01-01,49.0,12.0,0,750.4521
1940-01-01,49.0,12.25,0,772.4965
1940-01-01,49.0,12.5,0,816.556
1940-01-01,49.0,12.75,0,961.29755
1940-01-01,49.0,13.0,0,1082.9713
1940-01-01,49.0,13.25,0,1145.4093
1940-01-01,49.0,13.5,0,1087.969
1940-01-01,49.0,13.75,0,924.2726
1940-01-01,49.0,14.0,0,811.68506
1940-01-01,49.0,14.25,0,706.41187
1940-01-01,49.0,14.5,0,624.3684
1940-01-01,49.0,14.75,0,615.3786
1940-01-01,49.0,15.0,0,630.90735
1940-01-01,49.25,5.75,0,819.4263
1940-01-01,49.25,6.0,0,780.6487
1940-01-01,49.25,6.25,0,764.3526
1940-01-01,49.25,6.5,0,851.78
1940-01-01,49.25,6.75,0,905.21545
1940-01-01,49.25,7.0,0,845.2649
1940-01-01,49.25,7.25,0,841.9311
1940-01-01,49.25,7.5,0,809.13403
1940-01-01,49.25,7.75,0,846.94476
1940-01-01,49.25,8.0,0,788.6171
1940-01-01,49.25,8.25,0,647.2931
1940-01-01,49.25,8.5,0,650.1455
1940-01-01,49.25,8.75,0,739.5692
1940-01-01,49.25,9.0,0,770.5574
1940-01-01,49.25,9.25,0,792.17004
1940-01-01,49.25,9.5,0,758.4202
1940-01-01,49.25,9.75,0,790.3347
1940-01-01,49.25,10.0,0,825.4415
1940-01-01,49.25,10.25,0,809.26514
1940-01-01,49.25,10.5,0,774.61786
1940-01-01,49.25,10.75,0,738.5433
1940-01-01,49.25,11.0,0,743.71936
1940-01-01,49.25,11.25,0,753.4695
1940-01-01,49.25,11.5,0,775.8877
1940-01-01,49.25,11.75,0,771.36395
1940-01-01,49.25,12.0,0,708.2353
1940-01-01,49.25,12.25,0,734.53503
1940-01-01,49.25,12.5,0,775.9617
1940-01-01,49.25,12.75,0,808.48816
1940-01-01,49.25,13.0,0,910.6102
1940-01-01,49.25,13.25,0,887.6219
1940-01-01,49.25,13.5,0,855.15076
1940-01-01,49.25,13.75,0,761.76
1940-01-01,49.25,14.0,0,664.912
1940-01-01,49.25,14.25,0,620.7958
1940-01-01,49.25,14.5,0,631.00964
1940-01-01,49.25,14.75,0,635.12634
1940-01-01,49.25,15.0,0,730.1063
1940-01-01,49.5,5.75,0,845.1616
1940-01-01,49.5,6.0,0,806.57056
1940-01-01,49.5,6.25,0,751.06433
1940-01-01,49.5,6.5,0,923.0095
1940-01-01,49.5,6.75,0,979.9784
1940-01-01,49.5,7.0,0,938.24963
1940-01-01,49.5,7.25,0,803.74457
1940-01-01,49.5,7.5,0,711.7751
1940-01-01,49.5,7.75,0,727.46234
1940-01-01,49.5,8.0,0,715.16113
1940-01-01,49.5,8.25,0,674.1264
1940-01-01,49.5,8.5,0,680.52313
1940-01-01,49.5,8.75,0,819.1273
1940-01-01,49.5,9.0,0,859.2312
1940-01-01,49.5,9.25,0,880.0199
1940-01-01,49.5,9.5,0,761.0044
1940-01-01,49.5,9.75,0,701.92194
1940-01-01,49.5,10.0,0,717.4642
1940-01-01,49.5,10.25,0,726.0499
1940-01-01,49.5,10.5,0,750.1826
1940-01-01,49.5,10.75,0,724.426
1940-01-01,49.5,11.0,0,729.9393
1940-01-01,49.5,11.25,0,764.02277
1940-01-01,49.5,11.5,0,798.9109
1940-01-01,49.5,11.75,0,794.85706
1940-01-01,49.5,12.0,0,737.4154
1940-01-01,49.5,12.25,0,760.2234
1940-01-01,49.5,12.5,0,809.3066
1940-01-01,49.5,12.75,0,793.4618
1940-01-01,49.5,13.0,0,712.1741
1940-01-01,49.5,13.25,0,657.4752
1940-01-01,49.5,13.5,0,629.51544
1940-01-01,49.5,13.75,0,670.49695
1940-01-01,49.5,14.0,0,648.9844
1940-01-01,49.5,14.25,0,608.32574
1940-01-01,49.5,14.5,0,637.77795
1940-01-01,49.5,14.75,0,666.91516
1940-01-01,49.5,15.0,0,734.8559
1940-01-01,49.75,5.75,0,878.64215
1940-01-01,49.75,6.0,0,781.36035
1940-01-01,49.75,6.25,0,719.44604
1940-01-01,49.75,6.5,0,860.7373
