time,lat,lon,fire_weather_index (fwi)
1979-01-01,48.5,8.5,2.6472793
1979-01-01,48.5,8.75,2.6406834
1979-01-01,48.5,9.0,3.0719774
1979-01-01,48.5,9.25,2.9309838
1979-01-01,48.5,9.5,2.7006514
1979-01-01,48.5,9.75,2.596674
1979-01-01,48.5,10.0,2.7832315
1979-01-01,48.5,10.25,2.9643254
1979-01-01,48.5,10.5,3.0542665
1979-01-01,48.5,10.75,3.1426783
1979-01-01,48.5,11.0,3.1174521
1979-01-01,48.5,11.25,3.0336556
1979-01-01,48.5,11.5,2.969194
1979-01-01,48.5,11.75,2.955552
1979-01-01,48.5,12.0,2.960217
1979-01-01,48.5,12.25,2.967243
1979-01-01,48.5,12.5,3.048446
1979-01-01,48.5,12.75,3.3143847
1979-01-01,48.5,13.0,3.8016982
1979-01-01,48.5,13.25,4.2130876
1979-01-01,48.5,13.5,4.4301877
1979-01-01,48.5,13.75,4.390905
1979-01-01,48.5,14.0,4.257773
1979-01-01,48.5,14.25,4.026807
1979-01-01,48.5,14.5,3.8598948
1979-01-01,48.5,14.75,3.6456482
1979-01-01,48.5,15.0,3.4931624
1979-01-01,48.75,5.75,4.0397453
1979-01-01,48.75,6.0,3.9470222
1979-01-01,48.75,6.25,3.9352813
1979-01-01,48.75,6.5,4.29583
1979-01-01,48.75,6.75,4.359516
1979-01-01,48.75,7.0,4.04806
1979-01-01,48.75,7.25,3.3629246
1979-01-01,48.75,7.5,3.2959344
1979-01-01,48.75,7.75,3.5611134
1979-01-01,48.75,8.0,3.6967177
1979-01-01,48.75,8.25,3.0360477
1979-01-01,48.75,8.5,2.4563582
1979-01-01,48.75,8.75,2.378717
1979-01-01,48.75,9.0,2.989697
1979-01-01,48.75,9.25,3.242774
1979-01-01,48.75,9.5,3.052487
1979-01-01,48.75,9.75,2.6773524
1979-01-01,48.75,10.0,2.6210523
1979-01-01,48.75,10.25,2.8406186
1979-01-01,48.75,10.5,3.09603
1979-01-01,48.75,10.75,3.4536507
1979-01-01,48.75,11.0,3.7241757
1979-01-01,48.75,11.25,3.988817
1979-01-01,48.75,11.5,4.1914473
1979-01-01,48.75,11.75,4.3286886
1979-01-01,48.75,12.0,4.46305
1979-01-01,48.75,12.25,4.5909724
1979-01-01,48.75,12.5,4.690076
1979-01-01,48.75,12.75,4.7013683
1979-01-01,48.75,13.0,4.711217
1979-01-01,48.75,13.25,4.459169
1979-01-01,48.75,13.5,3.9879787
1979-01-01,48.75,13.75,3.4187918
1979-01-01,48.75,14.0,3.1846998
1979-01-01,48.75,14.25,3.3862267
1979-01-01,48.75,14.5,3.725252
1979-01-01,48.75,14.75,4.1035304
1979-01-01,48.75,15.0,4.1852207
1979-01-01,49.0,5.75,3.9978004
1979-01-01,49.0,6.0,4.147356
1979-01-01,49.0,6.25,4.251376
1979-01-01,49.0,6.5,4.283993
1979-01-01,49.0,6.75,4.5341177
1979-01-01,49.0,7.0,4.543783
1979-01-01,49.0,7.25,4.3285146
1979-01-01,49.0,7.5,4.107789
1979-01-01,49.0,7.75,4.2304225
1979-01-01,49.0,8.0,4.9200606
1979-01-01,49.0,8.25,5.4017415
1979-01-01,49.0,8.5,5.4133563
1979-01-01,49.0,8.75,4.833442
1979-01-01,49.0,9.0,4.135769
1979-01-01,49.0,9.25,3.970239
1979-01-01,49.0,9.5,3.8158221
1979-01-01,49.0,9.75,3.6450877
1979-01-01,49.0,10.0,3.4446986
1979-01-01,49.0,10.25,3.4696422
1979-01-01,49.0,10.5,3.5651143
1979-01-01,49.0,10.75,3.7272813
1979-01-01,49.0,11.0,3.9166803
1979-01-01,49.0,11.25,4.0373354
1979-01-01,49.0,11.5,4.034353
1979-01-01,49.0,11.75,3.8597953
1979-01-01,49.0,12.0,3.6707077
1979-01-01,49.0,12.25,3.548143
1979-01-01,49.0,12.5,3.2972827
1979-01-01,49.0,12.75,2.8607655
1979-01-01,49.0,13.0,2.385497
1979-01-01,49.0,13.25,2.1606128
1979-01-01,49.0,13.5,2.3394508
1979-01-01,49.0,13.75,2.8789072
