time,lat,lon,realization,maximum_five_days_precipitation (tp)
1940-01-01,49.25,13.0,0,86.58266
1940-01-01,49.25,13.25,0,85.85287
1940-01-01,49.25,13.5,0,82.894806
1940-01-01,49.25,13.75,0,83.94384
1940-01-01,49.25,14.0,0,75.441605
1940-01-01,49.25,14.25,0,68.24088
1940-01-01,49.25,14.5,0,64.21042
1940-01-01,49.25,14.75,0,58.531284
1940-01-01,49.25,15.0,0,66.60151
1940-01-01,49.5,5.75,0,67.38663
1940-01-01,49.5,6.0,0,64.08835
1940-01-01,49.5,6.25,0,58.212036
1940-01-01,49.5,6.5,0,72.94011
1940-01-01,49.5,6.75,0,82.38602
1940-01-01,49.5,7.0,0,72.94035
1940-01-01,49.5,7.25,0,58.000557
1940-01-01,49.5,7.5,0,49.53575
1940-01-01,49.5,7.75,0,48.405174
1940-01-01,49.5,8.0,0,45.01128
1940-01-01,49.5,8.25,0,42.82904
1940-01-01,49.5,8.5,0,53.67279
1940-01-01,49.5,8.75,0,74.687004
1940-01-01,49.5,9.0,0,62.887665
1940-01-01,49.5,9.25,0,55.40299
1940-01-01,49.5,9.5,0,52.1195
1940-01-01,49.5,9.75,0,47.847977
1940-01-01,49.5,10.0,0,44.894695
1940-01-01,49.5,10.25,0,42.808525
1940-01-01,49.5,10.5,0,42.661427
1940-01-01,49.5,10.75,0,50.15969
1940-01-01,49.5,11.0,0,56.684017
1940-01-01,49.5,11.25,0,63.764336
1940-01-01,49.5,11.5,0,69.17715
1940-01-01,49.5,11.75,0,70.17326
1940-01-01,49.5,12.0,0,66.858536
1940-01-01,49.5,12.25,0,64.88847
1940-01-01,49.5,12.5,0,67.16441
1940-01-01,49.5,12.75,0,70.08076
1940-01-01,49.5,13.0,0,69.17047
1940-01-01,49.5,13.25,0,66.6926
1940-01-01,49.5,13.5,0,63.78293
1940-01-01,49.5,13.75,0,60.18877
1940-01-01,49.5,14.0,0,59.123993
1940-01-01,49.5,14.25,0,52.44994
1940-01-01,49.5,14.5,0,54.66008
1940-01-01,49.5,14.75,0,57.090042
1940-01-01,49.5,15.0,0,62.34431
1940-01-01,49.75,5.75,0,75.3367
1940-01-01,49.75,6.0,0,62.042233
1940-01-01,49.75,6.25,0,52.68168
1940-01-01,49.75,6.5,0,72.71576
1940-01-01,49.75,6.75,0,78.67647
1940-01-01,49.75,7.0,0,76.09868
1940-01-01,49.75,7.25,0,58.339355
1940-01-01,49.75,7.5,0,46.327827
1940-01-01,49.75,7.75,0,41.616196
1940-01-01,49.75,8.0,0,39.084198
1940-01-01,49.75,8.25,0,41.751625
1940-01-01,49.75,8.5,0,46.572926
1940-01-01,49.75,8.75,0,64.33177
1940-01-01,49.75,9.0,0,56.633953
1940-01-01,49.75,9.25,0,58.818336
1940-01-01,49.75,9.5,0,55.639732
1940-01-01,49.75,9.75,0,51.388977
1940-01-01,49.75,10.0,0,48.321484
1940-01-01,49.75,10.25,0,47.545914
1940-01-01,49.75,10.5,0,47.033783
1940-01-01,49.75,10.75,0,47.24121
1940-01-01,49.75,11.0,0,53.262238
1940-01-01,49.75,11.25,0,60.265305
1940-01-01,49.75,11.5,0,63.778877
1940-01-01,49.75,11.75,0,61.655758
1940-01-01,49.75,12.0,0,60.0605
1940-01-01,49.75,12.25,0,58.10189
1940-01-01,49.75,12.5,0,59.07345
1940-01-01,49.75,12.75,0,55.358173
1940-01-01,49.75,13.0,0,54.45266
1940-01-01,49.75,13.25,0,51.270485
1940-01-01,49.75,13.5,0,51.689865
1940-01-01,49.75,13.75,0,49.32833
1940-01-01,49.75,14.0,0,48.38824
1940-01-01,49.75,14.25,0,50.109863
1940-01-01,49.75,14.5,0,55.27091
1940-01-01,49.75,14.75,0,57.68752
1940-01-01,49.75,15.0,0,54.163456
1940-01-01,50.0,5.75,0,93.1151
1940-01-01,50.0,6.0,0,79.885475
1940-01-01,50.0,6.25,0,71.298836
1940-01-01,50.0,6.5,0,68.2335
1940-01-01,50.0,6.75,0,74.17036
1940-01-01,50.0,7.0,0,71.54298
1940-01-01,50.0,7.25,0,64.966446
1940-01-01,50.0,7.5,0,52.806618
1940-01-01,50.0,7.75,0,48.019165
1940-01-01,50.0,8.0,0,55.34076
1940-01-01,50.0,8.25,0,55.912018
1940-01-01,50.0,8.5,0,60.705658
1940-01-01,50.0,8.75,0,60.930733
1940-01-01,50.0,9.0,0,81.54582
1940-01-01,50.0,9.25,0,81.96306
1940-01-01,50.0,9.5,0,77.75307
1940-01-01,50.0,9.75,0,62.511917
1940-01-01,50.0,10.0,0,61.11264
1940-01-01,50.0,10.25,0,61.058525
