time,lat,lon,realization,cooling_degree_days (data)
1940-01-01,49.75,12.5,0,7.88076
1940-01-01,49.75,12.75,0,9.5058975
1940-01-01,49.75,13.0,0,11.926933
1940-01-01,49.75,13.25,0,15.183403
1940-01-01,49.75,13.5,0,15.876396
1940-01-01,49.75,13.75,0,13.981125
1940-01-01,49.75,14.0,0,14.941002
1940-01-01,49.75,14.25,0,17.472359
1940-01-01,49.75,14.5,0,17.526253
1940-01-01,49.75,14.75,0,15.925407
1940-01-01,49.75,15.0,0,14.66983
1940-01-01,50.0,5.75,0,6.480057
1940-01-01,50.0,6.0,0,8.609375
1940-01-01,50.0,6.25,0,9.468262
1940-01-01,50.0,6.5,0,10.83503
1940-01-01,50.0,6.75,0,10.476166
1940-01-01,50.0,7.0,0,9.691483
1940-01-01,50.0,7.25,0,12.034584
1940-01-01,50.0,7.5,0,14.1267395
1940-01-01,50.0,7.75,0,20.951736
1940-01-01,50.0,8.0,0,21.833107
1940-01-01,50.0,8.25,0,26.647575
1940-01-01,50.0,8.5,0,27.859398
1940-01-01,50.0,8.75,0,33.940277
1940-01-01,50.0,9.0,0,29.250137
1940-01-01,50.0,9.25,0,24.79065
1940-01-01,50.0,9.5,0,22.59134
1940-01-01,50.0,9.75,0,21.566277
1940-01-01,50.0,10.0,0,24.14318
1940-01-01,50.0,10.25,0,23.629768
1940-01-01,50.0,10.5,0,26.559654
1940-01-01,50.0,10.75,0,27.27452
1940-01-01,50.0,11.0,0,24.085564
1940-01-01,50.0,11.25,0,18.44091
1940-01-01,50.0,11.5,0,12.739929
1940-01-01,50.0,11.75,0,10.699043
1940-01-01,50.0,12.0,0,9.413818
1940-01-01,50.0,12.25,0,8.047043
1940-01-01,50.0,12.5,0,5.9614563
1940-01-01,50.0,12.75,0,7.1954803
1940-01-01,50.0,13.0,0,8.902931
1940-01-01,50.0,13.25,0,12.621178
1940-01-01,50.0,13.5,0,13.081909
1940-01-01,50.0,13.75,0,15.917862
1940-01-01,50.0,14.0,0,18.22358
1940-01-01,50.0,14.25,0,21.356056
1940-01-01,50.0,14.5,0,22.69661
1940-01-01,50.0,14.75,0,23.662933
1940-01-01,50.0,15.0,0,22.55545
1940-01-01,50.25,5.75,0,7.0416946
1940-01-01,50.25,6.0,0,4.4606323
1940-01-01,50.25,6.25,0,3.995407
1940-01-01,50.25,6.5,0,5.1650314
1940-01-01,50.25,6.75,0,7.4807587
1940-01-01,50.25,7.0,0,10.290947
1940-01-01,50.25,7.25,0,12.594582
1940-01-01,50.25,7.5,0,16.100342
1940-01-01,50.25,7.75,0,14.695259
1940-01-01,50.25,8.0,0,15.687958
1940-01-01,50.25,8.25,0,18.368668
1940-01-01,50.25,8.5,0,21.517876
1940-01-01,50.25,8.75,0,29.618362
1940-01-01,50.25,9.0,0,26.218994
1940-01-01,50.25,9.25,0,21.256622
1940-01-01,50.25,9.5,0,16.273544
1940-01-01,50.25,9.75,0,15.355301
1940-01-01,50.25,10.0,0,16.388802
1940-01-01,50.25,10.25,0,19.106483
1940-01-01,50.25,10.5,0,21.594376
1940-01-01,50.25,10.75,0,21.830643
1940-01-01,50.25,11.0,0,18.732216
1940-01-01,50.25,11.25,0,13.731094
1940-01-01,50.25,11.5,0,8.76918
1940-01-01,50.25,11.75,0,8.173889
1940-01-01,50.25,12.0,0,7.7886047
1940-01-01,50.25,12.25,0,6.669182
1940-01-01,50.25,12.5,0,4.9862823
1940-01-01,50.25,12.75,0,3.8036194
1940-01-01,50.25,13.0,0,4.678528
1940-01-01,50.25,13.25,0,8.634918
1940-01-01,50.25,13.5,0,15.053642
1940-01-01,50.25,13.75,0,20.055092
1940-01-01,50.25,14.0,0,22.58818
1940-01-01,50.25,14.25,0,25.618774
1940-01-01,50.25,14.5,0,26.7574
1940-01-01,50.25,14.75,0,27.960365
1940-01-01,50.25,15.0,0,27.63079
