time,lat,lon,realization,data
1940-01-01,49.0,6.75,0,2938.6338
1940-01-01,49.0,7.0,0,2967.3342
1940-01-01,49.0,7.25,0,3020.8726
1940-01-01,49.0,7.5,0,3028.604
1940-01-01,49.0,7.75,0,2942.6519
1940-01-01,49.0,8.0,0,2885.2192
1940-01-01,49.0,8.25,0,2813.244
1940-01-01,49.0,8.5,0,2920.1365
1940-01-01,49.0,8.75,0,2978.3035
1940-01-01,49.0,9.0,0,3077.0967
1940-01-01,49.0,9.25,0,3155.2166
1940-01-01,49.0,9.5,0,3307.5469
1940-01-01,49.0,9.75,0,3418.3257
1940-01-01,49.0,10.0,0,3520.0825
1940-01-01,49.0,10.25,0,3506.5352
1940-01-01,49.0,10.5,0,3499.5508
1940-01-01,49.0,10.75,0,3494.1946
1940-01-01,49.0,11.0,0,3493.0962
1940-01-01,49.0,11.25,0,3503.9404
1940-01-01,49.0,11.5,0,3524.9165
1940-01-01,49.0,11.75,0,3538.8242
1940-01-01,49.0,12.0,0,3559.6626
1940-01-01,49.0,12.25,0,3588.9487
1940-01-01,49.0,12.5,0,3623.8262
1940-01-01,49.0,12.75,0,3791.4106
1940-01-01,49.0,13.0,0,3974.5034
1940-01-01,49.0,13.25,0,4204.6074
1940-01-01,49.0,13.5,0,4287.076
1940-01-01,49.0,13.75,0,4233.0933
1940-01-01,49.0,14.0,0,3990.4446
1940-01-01,49.0,14.25,0,3775.516
1940-01-01,49.0,14.5,0,3662.5945
1940-01-01,49.0,14.75,0,3676.1255
1940-01-01,49.0,15.0,0,3759.7122
1940-01-01,49.25,5.75,0,2919.8188
1940-01-01,49.25,6.0,0,2916.6328
1940-01-01,49.25,6.25,0,2899.434
1940-01-01,49.25,6.5,0,2958.0356
1940-01-01,49.25,6.75,0,3013.7683
1940-01-01,49.25,7.0,0,3027.9307
1940-01-01,49.25,7.25,0,3075.937
1940-01-01,49.25,7.5,0,3162.766
1940-01-01,49.25,7.75,0,3159.771
1940-01-01,49.25,8.0,0,3099.5122
1940-01-01,49.25,8.25,0,2906.562
1940-01-01,49.25,8.5,0,2899.6118
1940-01-01,49.25,8.75,0,2982.264
1940-01-01,49.25,9.0,0,3088.8125
1940-01-01,49.25,9.25,0,3180.6138
1940-01-01,49.25,9.5,0,3233.2275
1940-01-01,49.25,9.75,0,3340.217
1940-01-01,49.25,10.0,0,3394.1753
1940-01-01,49.25,10.25,0,3433.104
1940-01-01,49.25,10.5,0,3442.9917
1940-01-01,49.25,10.75,0,3418.5874
1940-01-01,49.25,11.0,0,3451.972
1940-01-01,49.25,11.25,0,3494.6816
1940-01-01,49.25,11.5,0,3546.8406
1940-01-01,49.25,11.75,0,3586.4175
1940-01-01,49.25,12.0,0,3567.7463
1940-01-01,49.25,12.25,0,3602.8074
1940-01-01,49.25,12.5,0,3664.9023
1940-01-01,49.25,12.75,0,3770.5925
1940-01-01,49.25,13.0,0,3957.8179
1940-01-01,49.25,13.25,0,4021.0928
1940-01-01,49.25,13.5,0,4017.4648
1940-01-01,49.25,13.75,0,3973.7808
1940-01-01,49.25,14.0,0,3784.2458
1940-01-01,49.25,14.25,0,3734.5288
1940-01-01,49.25,14.5,0,3791.5115
1940-01-01,49.25,14.75,0,3826.809
1940-01-01,49.25,15.0,0,3951.775
1940-01-01,49.5,5.75,0,3040.3323
1940-01-01,49.5,6.0,0,3036.707
1940-01-01,49.5,6.25,0,3017.4448
1940-01-01,49.5,6.5,0,3140.2188
1940-01-01,49.5,6.75,0,3198.3745
1940-01-01,49.5,7.0,0,3244.3477
1940-01-01,49.5,7.25,0,3213.383
1940-01-01,49.5,7.5,0,3237.5767
1940-01-01,49.5,7.75,0,3189.5518
1940-01-01,49.5,8.0,0,3086.845
1940-01-01,49.5,8.25,0,2981.06
1940-01-01,49.5,8.5,0,2978.1658
1940-01-01,49.5,8.75,0,3148.0923
1940-01-01,49.5,9.0,0,3232.4717
1940-01-01,49.5,9.25,0,3326.8774
1940-01-01,49.5,9.5,0,3283.1184
1940-01-01,49.5,9.75,0,3268.1904
1940-01-01,49.5,10.0,0,3309.1992
1940-01-01,49.5,10.25,0,3354.5566
1940-01-01,49.5,10.5,0,3399.1292
1940-01-01,49.5,10.75,0,3406.6
1940-01-01,49.5,11.0,0,3439.8447
1940-01-01,49.5,11.25,0,3501.936
1940-01-01,49.5,11.5,0,3589.6643
1940-01-01,49.5,11.75,0,3628.3135
1940-01-01,49.5,12.0,0,3646.9607
1940-01-01,49.5,12.25,0,3758.6118
1940-01-01,49.5,12.5,0,3856.7905
1940-01-01,49.5,12.75,0,3898.45
1940-01-01,49.5,13.0,0,3841.0273
1940-01-01,49.5,13.25,0,3809.9407
1940-01-01,49.5,13.5,0,3811.94
1940-01-01,49.5,13.75,0,3870.8237
1940-01-01,49.5,14.0,0,3847.269
1940-01-01,49.5,14.25,0,3803.787
1940-01-01,49.5,14.5,0,3849.6653
1940-01-01,49.5,14.75,0,3863.3164
1940-01-01,49.5,15.0,0,3943.5454
1940-01-01,49.75,5.75,0,3237.325
1940-01-01,49.75,6.0,0,3179.2102
1940-01-01,49.75,6.25,0,3142.7249
1940-01-01,49.75,6.5,0,3245.3005
1940-01-01,49.75,6.75,0,3295.7056
1940-01-01,49.75,7.0,0,3380.562
1940-01-01,49.75,7.25,0,3349.5889
1940-01-01,49.75,7.5,0,3306.121
1940-01-01,49.75,7.75,0,3184.3257
1940-01-01,49.75,8.0,0,3085.561
1940-01-01,49.75,8.25,0,3011.1567
1940-01-01,49.75,8.5,0,2997.0244
1940-01-01,49.75,8.75,0,3132.3232
1940-01-01,49.75,9.0,0,3230.635
1940-01-01,49.75,9.25,0,3344.0024
1940-01-01,49.75,9.5,0,3336.5503
1940-01-01,49.75,9.75,0,3324.0315
1940-01-01,49.75,10.0,0,3315.662
1940-01-01,49.75,10.25,0,3356.413
1940-01-01,49.75,10.5,0,3400.495
1940-01-01,49.75,10.75,0,3420.131
1940-01-01,49.75,11.0,0,3485.34
1940-01-01,49.75,11.25,0,3552.4087
1940-01-01,49.75,11.5,0,3648.6074
1940-01-01,49.75,11.75,0,3758.1968
1940-01-01,49.75,12.0,0,3809.0469
1940-01-01,49.75,12.25,0,3919.028
1940-01-01,49.75,12.5,0,4012.2607
1940-01-01,49.75,12.75,0,3989.7876
1940-01-01,49.75,13.0,0,3933.3164
1940-01-01,49.75,13.25,0,3870.2937
1940-01-01,49.75,13.5,0,3845.1975
1940-01-01,49.75,13.75,0,3890.313
1940-01-01,49.75,14.0,0,3855.8088
1940-01-01,49.75,14.25,0,3784.2534
1940-01-01,49.75,14.5,0,3781.6492
1940-01-01,49.75,14.75,0,3797.813
1940-01-01,49.75,15.0,0,3797.6257
1940-01-01,50.0,5.75,0,3393.7822
1940-01-01,50.0,6.0,0,3331.3838
1940-01-01,50.0,6.25,0,3335.7703
1940-01-01,50.0,6.5,0,3311.3826
1940-01-01,50.0,6.75,0,3360.0005
1940-01-01,50.0,7.0,0,3418.5461
